,reportedDateTime,centerLong,centerLat,offense,cluster_no
80,2021/01/07 09:40:00+00,-93.23514707,44.94837171,SHOPLF  ,233
81,2021/01/07 09:20:00+00,-93.22284519,44.98696658,TFMV    ,193
82,2021/01/07 11:10:00+00,-93.31335118,44.99108805,AUTOTH  ,129
83,2021/01/07 14:55:00+00,-93.29594513,44.89696993,AUTOTH  ,455
84,2021/01/07 13:14:00+00,-93.2626,44.91971,ASLT2   ,477
85,2021/01/07 14:16:00+00,-93.20503817,44.90630202,AUTOTH  ,145
86,2021/01/07 14:00:00+00,-93.2880785,44.95099896,THEFT   ,304
87,2021/01/07 15:42:00+00,-93.21567023,44.91626633,ASLT4   ,243
88,2021/01/07 15:36:00+00,-93.23647339,44.98076705,THEFT   ,19
89,2021/01/07 15:29:00+00,-93.27145801,44.93685437,AUTOTH  ,293
90,2021/01/07 17:00:00+00,-93.28128103,44.95822019,BURGB   ,201
91,2021/01/07 16:20:00+00,-93.28810737,44.94748459,CARJCK  ,257
92,2021/01/07 17:12:00+00,-93.23647339,44.98076705,AUTOTH  ,19
93,2021/01/07 18:52:00+00,-93.2793069,44.91420542,ASLT2   ,143
94,2021/01/07 19:46:00+00,-93.27233484,44.97231758,AUTOTH  ,265
95,2021/01/07 17:10:00+00,-93.27790386,44.95145092,AUTOTH  ,141
96,2021/01/07 16:50:00+00,-93.26646784,44.95014459,AUTOTH  ,118
97,2021/01/07 19:08:00+00,-93.30949,44.99878,AUTOTH  ,77
98,2021/01/07 17:45:00+00,-93.28647953,45.01399588,DASLT2  ,205
99,2021/01/07 18:00:00+00,-93.23695301,44.96275542,TMVP    ,24
100,2021/01/07 19:38:00+00,-93.29092005,44.96270254,AUTOTH  ,248
101,2021/01/07 20:05:00+00,-93.2347243,44.95108135,THEFT   ,56
102,2021/01/07 20:04:00+00,-93.28296447,44.95463884,AUTOTH  ,165
103,2021/01/07 20:45:00+00,-93.30318077,45.01411528,DASLT2  ,475
104,2021/01/07 23:10:00+00,-93.27020212,44.97031585,THEFT   ,311
105,2021/01/08 01:53:00+00,-93.2664,44.96269,CARJCK  ,153
106,2021/01/08 00:05:00+00,-93.29823,44.95734,ROBPER  ,139
107,2021/01/08 06:36:00+00,-93.28928446,45.01400771,ROBPAG  ,205
108,2021/01/08 07:42:00+00,-93.22900199,44.96276884,ROBPAG  ,177
109,2021/01/08 09:05:00+00,-93.24645826,44.96661711,CARJCK  ,314
110,2021/01/01 00:00:00+00,-93.30089701,45.00119234,CSCR    ,302
111,2021/01/06 13:42:00+00,-93.32010001,44.931414,TMVP    ,239
112,2021/01/06 14:52:00+00,-93.26191627,44.98044364,TFMV    ,445
113,2021/01/06 15:22:00+00,-93.27282893,44.94581327,THEFT   ,41
114,2021/01/07 08:33:00+00,-93.25672375,44.96900367,THEFT   ,151
115,2021/01/07 08:34:00+00,-93.30128954,44.99945235,THFTSW  ,302
116,2021/01/07 09:20:00+00,-93.24739481,44.95101495,TFMV    ,338
117,2021/01/07 10:09:00+00,-93.24739481,44.95101495,TFMV    ,338
118,2021/01/07 11:14:00+00,-93.23889735,44.98814947,THFTSW  ,117
119,2021/01/07 11:43:00+00,-93.25852092,45.00927921,THEFT   ,246
120,2021/01/07 12:19:00+00,-93.28936422,44.94920253,BIKETF  ,257
121,2021/01/07 12:53:00+00,-93.30282748,45.00278042,THEFT   ,480
122,2021/01/07 12:57:00+00,-93.27148946,44.95826287,TMVP    ,474
123,2021/01/07 13:13:00+00,-93.27274938,44.92596712,THFTSW  ,312
124,2021/01/07 13:32:00+00,-93.24352432,44.99600236,THEFT   ,294
125,2021/01/07 13:59:00+00,-93.23037773,44.98694969,BIKETF  ,50
126,2021/01/07 17:05:00+00,-93.22692634,44.98482326,TMVP    ,442
127,2021/01/04 11:51:00+00,-93.28322844,44.96692818,TMVP    ,362
128,2021/01/07 07:51:00+00,-93.22545685,44.92961535,TFMV    ,426
129,2021/01/07 14:00:00+00,-93.282081,44.98967623,TFMV    ,395
130,2021/01/08 11:47:00+00,-93.22730894,44.93231929,BURGB   ,173
131,2021/01/07 19:53:00+00,-93.22774843,44.94837476,THEFT   ,144
132,2021/01/07 22:05:00+00,-93.29564,45.00026,CARJCK  ,452
133,2021/01/11 07:31:00+00,-93.32777483,44.91341972,BURGD   ,329
134,2021/01/10 05:35:00+00,-93.30829176,44.98530999,ASLT2   ,204
135,2021/01/10 07:18:00+00,-93.26884413,44.92964275,TMVP    ,10
136,2021/01/10 08:58:00+00,-93.26234582,45.01217294,AUTOTH  ,17
137,2021/01/10 08:40:00+00,-93.28933174,45.02484504,AUTOTH  ,64
138,2021/01/10 10:00:00+00,-93.29829195,44.9474742,BURGB   ,369
139,2021/01/10 00:30:00+00,-93.25122404,44.94746021,AUTOTH  ,136
140,2021/01/10 10:30:00+00,-93.28296447,44.95463884,AUTOTH  ,165
141,2021/01/10 10:32:00+00,-93.2392374,44.98765851,AUTOTH  ,117
142,2021/01/10 11:10:00+00,-93.25892584,44.96271307,BURGB   ,282
143,2021/01/10 11:17:00+00,-93.26106,44.96393,AUTOTH  ,203
144,2021/01/10 12:00:00+00,-93.23583108,45.02135075,THEFT   ,499
145,2021/01/10 11:50:00+00,-93.28338846,45.01372855,AUTOTH  ,374
146,2021/01/10 12:25:00+00,-93.25677535,44.96183225,TMVP    ,1
147,2021/01/10 14:49:00+00,-93.21112566,44.97345258,BURGB   ,122
148,2021/01/10 13:19:00+00,-93.26036615,44.96799154,AUTOTH  ,151
