,cluster_no,centerLong,centerLat
0,0,-93.30953652666666,45.019562040000004
1,1,-93.25581972500001,44.961199111999996
2,2,-93.29372271642856,44.94124312642856
3,3,-93.24934315714286,44.98367500142858
4,4,-93.243566085,44.914236149999994
5,5,-93.27760068565217,44.96908552260869
6,6,-93.2470936,45.01196557000001
7,7,-93.21554991571429,44.94899506571428
8,8,-93.28738906571428,44.90407754
9,9,-93.293716965,44.98717919
10,10,-93.26855645555554,44.93114772777778
11,11,-93.22167702000002,44.927905792500006
12,12,-93.21582427,44.98757923428571
13,13,-93.291814055,45.01875452750001
14,14,-93.24705751375001,44.9418084675
15,15,-93.31888784333334,44.92272481
16,16,-93.27406345714287,44.95427073857143
17,17,-93.262002185,45.01070220625
18,18,-93.29504321647056,44.95804944117646
19,19,-93.23588638,44.98044332071428
20,20,-93.28904847571428,45.04261332857142
21,21,-93.22538537833333,44.89903345166667
22,22,-93.32683328,44.95360957
23,23,-93.26332330666668,44.902794656666664
24,24,-93.23849608642855,44.96247775571429
25,25,-93.23007301,44.943403735000004
26,26,-93.268920150625,44.9781673275
27,27,-93.23323295714286,45.007133175714294
28,28,-93.30782505230769,45.005697395384615
29,29,-93.21991386222223,44.96982365
30,30,-93.25681714999999,44.949031284499995
31,31,-93.20990579666666,44.907803879999996
32,32,-93.28356882428571,44.94772153499999
33,33,-93.28798782499999,45.0039662075
34,34,-93.277941182,44.921260974000006
35,35,-93.23135333,45.026790685
36,36,-93.24108113,44.99741980857142
37,37,-93.24906470799999,44.968438449
38,38,-93.30635143333332,44.89252016
39,39,-93.30277184,44.985427025
40,40,-93.259775115,44.995517469999996
41,41,-93.27238368533334,44.943993242
42,42,-93.284729454,44.95732692599999
43,43,-93.29745808749999,45.0354458475
44,44,-93.27270782000001,44.96211811199999
45,45,-93.27792544117648,44.8967024917647
46,46,-93.25637150285716,44.92988986142857
47,47,-93.26450971499999,44.96753066833333
48,48,-93.209836155,44.918211639999996
49,49,-93.25597071333334,45.03539713666667
50,50,-93.23012363000001,44.9870982575
51,51,-93.29605154714287,44.94896706714285
52,52,-93.31775680749999,45.0323918375
53,53,-93.28027019333332,44.98453955666667
54,54,-93.29042838166667,44.92349159166667
55,55,-93.23934103333333,44.93471691166666
56,56,-93.23472430000001,44.951081349999995
57,57,-93.29906708,45.001940922
58,58,-93.2331775975,44.9085524025
59,59,-93.2837767775,44.934882155000004
60,60,-93.25215799650002,44.954597514
61,61,-93.32137822,44.90796101
62,62,-93.26752394166665,44.91670744333334
63,63,-93.31910579833334,44.947340233333335
64,64,-93.28885806333334,45.023635221666666
65,65,-93.25684864666668,44.971735033333324
66,66,-93.29876665666666,45.04843116333333
67,67,-93.22875839857144,44.99209566428571
68,68,-93.22799215363635,44.97387183909091
69,69,-93.2471705075,44.94656630125
70,70,-93.286083086,44.967737308
71,71,-93.22786496500001,44.9576037775
72,72,-93.2579564025,45.00095663
73,73,-93.29916942833331,45.01288050333334
74,74,-93.26253148199999,44.937232022
75,75,-93.24686446833334,45.03105388833333
76,76,-93.30426251,44.97243386
77,77,-93.31034500333332,44.99908668
78,78,-93.26770715333333,44.99934914
79,79,-93.26387054499999,44.954859982500004
80,80,-93.27038804,45.021362765
81,81,-93.21876748307695,44.92507515769231
82,82,-93.28054155,44.97561965222223
83,83,-93.26354531199999,44.978433944
84,84,-93.22883412000004,45.00363906999999
85,85,-93.28631278888889,44.96130719333334
86,86,-93.22854985000001,44.936165702500006
87,87,-93.28834756444445,44.89290192666667
88,88,-93.27225196653848,44.975531523076924
89,89,-93.21063074333331,44.936313686666665
90,90,-93.27792417222223,44.961898762222226
91,91,-93.252223944,44.98935492
92,92,-93.222732996,44.91188942
93,93,-93.24542118928574,44.983132552142855
94,94,-93.29283794333332,44.995688865
95,95,-93.2108184,45.00099623
96,96,-93.24598215374999,44.92859698625
97,97,-93.27765781555556,44.937029457777776
98,98,-93.26808692333333,44.89414885666666
99,99,-93.30684663777778,45.017845032222226
100,100,-93.30469866,44.99534904400001
101,101,-93.28653995666667,44.94887001777778
102,102,-93.31028,44.93359
103,103,-93.31822531,45.05033436
104,104,-93.30368695166665,44.94945195833333
105,105,-93.22894201666668,44.92748882000001
106,106,-93.24379532,44.89754542
107,107,-93.32362741,44.96649752
108,108,-93.27282793333332,44.98532256333334
109,109,-93.22141505,44.937551314000004
110,110,-93.30871190666666,44.91296605333333
111,111,-93.281211795,45.01742783
112,112,-93.25240008,44.9188021
113,113,-93.2610649911111,44.95951839444445
114,114,-93.29665230181818,44.98226020818182
115,115,-93.265702175,44.92468629
116,116,-93.20950775899999,44.949377237
117,117,-93.24120482333332,44.987973550000014
118,118,-93.267320905,44.94967874666667
119,119,-93.289208448,44.93189237099999
120,120,-93.2344264125,45.0170260275
121,121,-93.27599218750001,44.993839145
122,122,-93.21112566,44.97345258
123,123,-93.313100635,44.9006679
124,124,-93.24996283545455,44.959664799090916
125,125,-93.29091349545456,45.000324976363636
126,126,-93.26366578866667,44.97172788600001
127,127,-93.2991259125,44.9665159525
128,128,-93.30800353000001,45.034761456666665
129,129,-93.31314899,44.98936839666666
130,130,-93.23552745333332,44.94127778666666
131,131,-93.31589788500001,45.02002102833334
132,132,-93.254667685,44.9097183975
133,133,-93.26257128,44.915112675
134,134,-93.30180758333333,44.94246404555555
135,135,-93.25649475750001,45.0126327675
136,136,-93.25272251470587,44.94766895470589
137,137,-93.2911576875,45.0095298125
138,138,-93.28170498499998,44.941012836249996
139,139,-93.29819015250003,44.954671565625006
140,140,-93.27026451625,44.938664243750004
141,141,-93.27697306571429,44.95251190142857
142,142,-93.262945295,44.94457679
143,143,-93.2819479075,44.9141921575
144,144,-93.22871098666667,44.949273773333324
145,145,-93.20427969571428,44.90671020857143
146,146,-93.24735899000001,44.95521686
147,147,-93.287220744,45.00964114200001
148,148,-93.24835713333334,45.00208644666666
149,149,-93.24079098,45.0197417625
150,150,-93.29296401,45.03171694000001
151,151,-93.25788141833334,44.96807350888889
152,152,-93.2953456711111,44.962831961111114
153,153,-93.26690040999999,44.96270436300001
154,154,-93.22170830499999,44.997417080000005
155,155,-93.26402121800001,45.007123162000006
156,156,-93.251053893,44.975372655
157,157,-93.255435616,44.988295998
158,158,-93.31208294333334,45.00570249666667
159,159,-93.24087395555553,44.94771968222223
160,160,-93.32335169,44.91792374
161,161,-93.24516588222222,44.96330224555555
162,162,-93.25409474,44.89369393
163,163,-93.24734377666668,44.93472184555556
164,164,-93.30571,45.01503
165,165,-93.28191521363638,44.95414826
166,166,-93.270901135,45.008038445
167,167,-93.278443735,44.930490969999994
168,168,-93.296172646,44.995018152
169,169,-93.32340438583333,44.946226076666655
170,170,-93.3103107725,45.0125638975
171,171,-93.31396276333334,44.971097283333336
172,172,-93.29543753,45.024739978333336
173,173,-93.22760458666669,44.93221656333334
174,174,-93.26136607,44.951990626666664
175,175,-93.20370625,44.92519188
176,176,-93.2901797327273,44.93761061636364
177,177,-93.22757494857144,44.96308417
178,178,-93.30026808,45.00764615142857
179,179,-93.25933517272728,44.97824312727272
180,180,-93.256981674,44.938650116
181,181,-93.27695272285713,44.95598541857142
182,182,-93.29720298,44.90600392
183,183,-93.29165497909092,44.953108901818176
184,184,-93.21703896428572,44.90757679571429
185,185,-93.24606917571428,45.01961552428572
186,186,-93.23572922333335,44.96581929583334
187,187,-93.24236489333333,45.00604003666667
188,188,-93.26780738400001,44.958417780000005
