X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2664435132985,44.951936227707996,,MP20212595          ,3     ,2021/01/04 00:00:00+00,1858,2021/01/04 00:00:00+00,2021/01/04 18:58:00+00,1814,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5.0,2021/01/05 00:00:00+00,,-93.26645,44.95194,-10382373,5613958,Phillips West,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,35
-93.26501519199671,44.933248862347,0038XX PARK AVE ,MP20212599          ,3     ,2021/01/04 00:00:00+00,1940,2021/01/04 00:00:00+00,2021/01/04 19:40:00+00,1500,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,21977.0,-93.26501795,44.93325319,-10382214,5611019,Bryant,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,36
-93.3021335795365,45.0039223432613,0024XX JAMES AVE N,MP20212701          ,4     ,2021/01/04 00:00:00+00,2143,2021/01/04 00:00:00+00,2021/01/04 21:43:00+00,2043,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5.0,2021/01/04 00:00:00+00,22662.0,-93.30214193,45.00392809,-10386346,5622139,Jordan,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,37
-93.2829186156092,44.960003169062006,0023XX PLEASANT AVE ,MP20212732          ,5     ,2021/01/04 00:00:00+00,2125,2021/01/04 00:00:00+00,2021/01/04 21:25:00+00,2125,ROBPAG  ,ROBBERY PER AGG               ,4.0,2021/01/05 00:00:00+00,16765.0,-93.28292618,44.96000769,-10384207,5615227,Whittier,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,38
-93.29828879012051,44.997411569564704,0014XX 18TH AVE N,MP20212735          ,4     ,2021/01/04 00:00:00+00,2210,2021/01/04 00:00:00+00,2021/01/04 22:10:00+00,2210,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,16141.0,-93.29828953,44.99741165,-10385918,5621114,Near - North,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,39
-93.24484801386829,44.9572126060633,0024XX OGEMA PL ,MP20212757          ,3     ,2021/01/04 00:00:00+00,2315,2021/01/04 00:00:00+00,2021/01/04 23:15:00+00,2130,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,21424.0,-93.24485196,44.957217299999996,-10379969,5614788,East Phillips,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,40
-93.2818316541155,45.0107245173616,,MP20212782          ,4     ,2021/01/04 00:00:00+00,2308,2021/01/04 00:00:00+00,2021/01/04 23:08:00+00,2308,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5.0,2021/01/05 00:00:00+00,,-93.28184,45.01073,-10384086,5623210,Hawthorne,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,41
-93.23014259266719,44.9427363694113,0033XX MINNEHAHA AVE ,MP20212785          ,3     ,2021/01/04 00:00:00+00,2350,2021/01/03 00:00:00+00,2021/01/04 23:50:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,16507.0,-93.23014656,44.94273966,-10378332,5612511,Longfellow,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,42
-93.252330980185,44.9604735467247,0022XX BLOOMINGTON AVE ,MP20212793          ,3     ,2021/01/05 00:00:00+00,45,2021/01/04 00:00:00+00,2021/01/05 00:45:00+00,2330,BURGD   ,BURGLARY OF DWELLING          ,6.0,2021/01/05 00:00:00+00,22834.0,-93.25233604,44.96047631,-10380802,5615301,Ventura Village,2021/01/12 00:00:00+00,2021/01/13 07:00:46+00,43
-93.2645750175075,44.9483505564274,0007XX LAKE ST E,MP20212795          ,3     ,2021/01/05 00:00:00+00,110,2021/01/04 00:00:00+00,2021/01/05 01:10:00+00,2345,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,19105.0,-93.26458179,44.94835395,-10382165,5613394,Central,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,44
-93.21921907881229,44.9205858129951,0045XX HIAWATHA AVE ,MP20212828          ,3     ,2021/01/05 00:00:00+00,114,2021/01/05 00:00:00+00,2021/01/05 01:14:00+00,50,SHOPLF  ,SHOPLIFTING                   ,7.0,2021/01/05 00:00:00+00,21628.0,-93.21921931,44.92059183,-10377116,5609028,Hiawatha,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,45
-93.263757550599,44.92783672026339,0041XX COLUMBUS AVE ,MP20212881          ,3     ,2021/01/05 00:00:00+00,431,2021/01/04 00:00:00+00,2021/01/05 04:31:00+00,1930,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,12360.0,-93.26376354,44.92784146,-10382074,5610168,Bryant,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,46
-93.248593988603,44.9582360401436,0024XX 18TH AVE S,MP20212883          ,3     ,2021/01/05 00:00:00+00,449,2021/01/04 00:00:00+00,2021/01/05 04:49:00+00,2200,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,5.0,2021/01/05 00:00:00+00,18172.0,-93.24859419,44.95823739,-10380386,5614949,East Phillips,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,47
-93.24062593203291,44.9456484398213,0031XX 22ND AVE S,MP20212903          ,3     ,2021/01/05 00:00:00+00,623,2021/01/05 00:00:00+00,2021/01/05 06:23:00+00,620,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,19708.0,-93.24062754,44.94565103,-10379499,5612969,Corcoran,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,48
-93.29015005364641,45.0429968373966,0048XX ALDRICH AVE N,MP20212906          ,4     ,2021/01/05 00:00:00+00,801,2021/01/05 00:00:00+00,2021/01/05 08:01:00+00,801,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,19431.0,-93.29015579,45.04300215,-10385012,5628293,Lind - Bohanon,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,49
-93.2981091270637,45.012267755359105,0031XX HUMBOLDT AVE N,MP20212929          ,4     ,2021/01/05 00:00:00+00,844,2021/01/05 00:00:00+00,2021/01/05 08:44:00+00,807,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,10671.0,-93.29811148,45.01227101,-10385898,5623453,Jordan,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,50
-93.27877738214941,44.9873231732663,0007XX 3RD ST N,MP20212933          ,1     ,2021/01/05 00:00:00+00,815,2020/12/12 00:00:00+00,2021/01/05 08:15:00+00,157,BURGB   ,BURGLARY OF BUSINESS          ,6.0,2021/01/05 00:00:00+00,16901.0,-93.27878545,44.98732811,-10383746,5619526,North Loop,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,51
-93.2613051498733,44.940466378020105,0034XX ELLIOT AVE ,MP20212934          ,3     ,2021/01/05 00:00:00+00,815,2021/01/05 00:00:00+00,2021/01/05 08:15:00+00,815,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,11898.0,-93.26130641,44.94046694,-10381801,5612154,Powderhorn Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,52
-93.3004627131081,45.048429850813505,0051XX IRVING AVE N,MP20212937          ,4     ,2021/01/05 00:00:00+00,907,2021/01/05 00:00:00+00,2021/01/05 09:07:00+00,830,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,10304.0,-93.30046713,45.04843611,-10386160,5629149,Shingle Creek,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,53
-93.2707105108981,44.986579814382104,0003XX 1ST ST N,MP20213001          ,1     ,2021/01/05 00:00:00+00,1056,2020/12/31 00:00:00+00,2021/01/05 10:56:00+00,1230,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,19561.0,-93.27071508,44.98658121,-10382848,5619409,North Loop,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,54
-93.2677011546963,44.952832610527004,0027XX PORTLAND AVE ,MP20213042          ,3     ,2021/01/05 00:00:00+00,1130,2020/01/04 00:00:00+00,2021/01/05 11:30:00+00,1700,BURGB   ,BURGLARY OF BUSINESS          ,6.0,2021/01/05 00:00:00+00,16978.0,-93.26770341,44.95283281,-10382513,5614099,Phillips West,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,55
-93.24995942783491,44.9483632719695,,MP20213129          ,3     ,2021/01/05 00:00:00+00,1416,2020/09/05 00:00:00+00,2021/01/05 14:16:00+00,2356,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5.0,2021/01/05 00:00:00+00,,-93.24996,44.948370000000004,-10380538,5613396,East Phillips,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,56
-93.2076218284943,44.942418448851,0033XX 46TH AVE S,MP20213387          ,3     ,2021/01/01 00:00:00+00,1544,2020/12/31 00:00:00+00,2021/01/01 15:44:00+00,1130,CSCR    ,CSC - RAPE                    ,3.0,2021/01/05 00:00:00+00,22403.0,-93.20762326,44.94242474,-10375825,5612461,Cooper,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,57
-93.29791149770121,45.048423504136295,0051XX GIRARD AVE N,MP2021700023        ,4     ,2021/01/04 00:00:00+00,758,2021/01/04 00:00:00+00,2021/01/04 07:58:00+00,30,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,10303.0,-93.29791642,45.04842869,-10385876,5629148,Lind - Bohanon,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,58
-93.2549810102731,44.9546316912399,0026XX 14TH AVE S,MP2021700024        ,3     ,2021/01/04 00:00:00+00,839,2021/01/03 00:00:00+00,2021/01/04 08:39:00+00,1930,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,18405.0,-93.25498841,44.95463336,-10381097,5614382,Midtown Phillips,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,59
-93.2271601859239,44.9094405293595,0051XX 31ST AVE S,MP2021700029        ,3     ,2021/01/04 00:00:00+00,949,2021/01/01 00:00:00+00,2021/01/04 09:49:00+00,2100,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,22345.0,-93.22716351,44.90944346,-10378000,5607276,Keewaydin,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,60
-93.2281573158893,45.0122995087908,0023XX MCKINLEY ST NE,MP2021700031        ,2     ,2021/01/04 00:00:00+00,1016,2021/01/03 00:00:00+00,2021/01/04 10:16:00+00,2100,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,10642.0,-93.22815905,45.01230353,-10378111,5623458,Windom Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,61
-93.2781036456864,44.8923939895601,,MP2021700032        ,5     ,2021/01/04 00:00:00+00,1020,2021/01/02 00:00:00+00,2021/01/04 10:20:00+00,1830,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,,-93.27811,44.89239,-10383671,5604597,Windom,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,62
-93.262850252162,44.9781480521623,0004XX 3RD ST S,MP2021700034        ,1     ,2021/01/04 00:00:00+00,1241,2021/01/01 00:00:00+00,2021/01/04 12:41:00+00,1530,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,18615.0,-93.26285722,44.97815353,-10381973,5618082,Downtown West,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,63
-93.2281483327365,44.9633783611699,0009XX 30TH AVE S,MP2021700035        ,3     ,2021/01/04 00:00:00+00,1309,2020/12/31 00:00:00+00,2021/01/04 13:09:00+00,600,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,19653.0,-93.22815625,44.96338454,-10378110,5615758,Seward,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,64
-93.2323344819605,44.9519680145722,0027XX 28TH ST E,MP2021700036        ,3     ,2021/01/04 00:00:00+00,1310,2021/01/04 00:00:00+00,2021/01/04 13:10:00+00,300,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,17399.0,-93.23233478,44.95197292,-10378576,5613963,Longfellow,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,65
-93.29827082381479,44.9492533529204,,MP2021700041        ,5     ,2021/01/04 00:00:00+00,1402,2021/01/04 00:00:00+00,2021/01/04 14:02:00+00,1100,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,,-93.29828,44.949259999999995,-10385916,5613536,Lowry Hill East,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,66
-93.29542316436421,44.9267936636475,0013XX 42ND ST W,MP2021700043        ,5     ,2021/01/04 00:00:00+00,1508,2021/01/04 00:00:00+00,2021/01/04 15:08:00+00,1300,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,26013.0,-93.29542432,44.92679543,-10385599,5610004,East Harriet,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,67
-93.28359235207229,44.9739857229703,0014XX LAUREL AVE ,MP2021700049        ,1     ,2021/01/04 00:00:00+00,1700,2021/01/02 00:00:00+00,2021/01/04 17:00:00+00,1630,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,21646.0,-93.2835968,44.973991600000005,-10384282,5617427,Loring Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,68
